Pl,Numéros réponse,Position,Réponse (French),Answer (English),Enquête (French),Inquiry (English),LOC,DET,CON,QUAL
I,1,^,"Ok,des ailes d'ange avec des mains et le coté ""ahhh"".","Ok, angel wings with hands and the “ahhh” side.",Dissymétrie perturbante Forme Lacunes remplies,Disturbing asymmetry Shape Filled gaps,G,F+,(Hd),"Symb →Critobj →Sym
 Ref phal"
,2,^,Et là plus genre un loup avec les yeux et le pelage autour.,And there more like a wolf with eyes and fur around it.,"""Un masque de loup. Mais un espèce de loup à quatre yeux avec deux yeux agressifs"" La couleur;Le tout Deux lacunes du haut remplies.","""A wolf mask. But a kind of four-eyed wolf with two aggressive eyes"" The color; The whole Two gaps at the top filled.",G,FCE+,Ad,"Yeux (→Ban)
 →Clob
 →Eqe"
,3,v,"Aller ca peut etre drole effectivement,un chapeau qui remonte sur les cotés,un peu russe,voilà","Come on, it can actually be funny, a hat that goes up the sides, a little Russian, that's it",Lacunes remplies.,Gaps filled.,G,F+,Vet,"Ref phal
 →Affect"
,4,^,"C'est bizarre,si on peut terminer là-dessus,l'ange là,le fait qu'il y ait une double bosse ic(montre),ca m'a fait un peu bizarre car ca fait le coté avec les mains comme ca(imite l'ange),c'est une espèce d'ange à deux etes tu vois,on voit bien,juste deux tetes c'est bizarre.","It's weird, if we can end on that, the angel there, the fact that there is a double hump here (watch), it made me a little strange because it makes the side with the hands like that (imitates the angel), it's a kind of angel with two heads you see, we can see clearly, just two heads is weird.","Le tout ""De dos"" Lacunes remplies","All ""From the back"" Gaps filled",G,K-,(H),"→Persp Anale
 →Affect"
,5,^,"Il y a un truc qui me perturbe,ce n'est pas symétrique,il y a des taches la(montre) que tu ne vois pas là,ca me perturbe,ce n'est pas symétrique","There is something that bothers me, it's not symmetrical, there are spots on the (watch) that you don't see there, it bothers me, it's not symmetrical",Le noir dans le noir de ce coté(gauche)n'est pas de ce coté(droite),The black in the black on this side (left) is not on this side (right),Dd,C-,Frag,"Crit obj
 Sym
 →E"
II,6,^,"Premier truc auquel ça me
 fait penser, et c’est marrant parce
 que c’est pas du tout la forme là,
 mais là, ce creux là, ce vide-là, ça
 me fait penser à quand tu fais un
 bisou avec du rouge à lèvre sur un
 truc et que du coup il reste le trou
 du… du truc… Le rouge ça me
 gêne grave","First thing that happened to me
 makes you think, and it's funny because
 that this is not the form at all,
 but there, this hollow there, this void there, this
 reminds me of when you make a
 kiss with lipstick on a
 thing and suddenly the hole remains
 something… something… Red is what I like
 serious discomfort","« La forme et la
 couleur car le rouge me
 fait penser au bisou et
 le fait de la forme me
 fait penser au bisou »
 La grande lacune
 centrale puis le tout","“The form and
 color because red to me
 reminds of kisses and
 the fact of the shape me
 reminds me of a kiss »
 The big gap
 central then all",DblG,CF-,Frag,"Choc R
 →E
 Confab"
,7,^,"Ça du coup (montre le bas
 de l’image), et c’est un peu gênant
 du coup (rires), mais ça, ça me fait
 penser à des hanches, et ça, le côté
 symétrique ça me fait penser à un
 vagin, mais c’est super flippant du
 coup, (longue pause) gênant plus
 que flippant mais bon…","So (points to the bottom)
 of the image), and it's a bit annoying
 so (laughs), but that makes me
 think about hips, and that, the side
 symmetrical it reminds me of a
 vagina, but it's super creepy
 suddenly, (long pause) annoying more
 that creepy but hey…","La forme et la couleur
 D10 moins Dd7des
 deux côtés","Shape and color
 D10 minus Dd7des
 two sides",Dd,FCClob-,Hd/Sex,"Affect
 Sym"
,8,<,"Et ensuite, c’est beaucoup
 plus drôle comme ça, ça me fait
 penser à un dromadaire, non
 chameau car deux bosses, avec la
 tête ici (montre) il n’a pas les
 jambes pas la queue mais il a la
 tête ici et une, deux bosses
 (montre), ça occulte un peu le truc
 car c’est pris de manière
 dissymétrique.","And then, it's a lot
 funnier like that, it makes me
 think of a camel, no
 camel because two humps, with the
 head here (shows) he doesn't have the
 legs not the tail but he has the
 head here and one, two bumps
 (shows), it obscures the thing a little
 because it is taken in such a way
 asymmetrical.","La forme
 D1 + D2
 La tête dans le rouge et
 le corps dans le noir","The form
 D1 + D2
 Head in the red and
 the body in the dark",Dd,F-,A,"Sym
 Critobj"
,9,v,"Ça me fait penser à un
 animal marin dont j’ai oublié le
 nom Comme je ne le vois pas comme
 un tout, le côté dissymétrique me
 choque moins. D’ailleurs, il y en a
 moins j’ai l’impression.","It reminds me of a
 marine animal whose name I forgot
 noun As I don't see it as
 a whole, the asymmetrical side me
 shocks less. Moreover, there are
 less I feel.","La forme
 D3 – rouge inférieur","The form
 D3 – lower red",D,F+/-,A,"→Autocrit
 →Choc R →Autocrit Sym
 →critobj"
III,10,^,"Ça, c’est un nœud
 papillon mais c’est assez classique","That's a knot
 butterfly but it’s quite classic","La forme et la couleur
 D3 – Rouge central","Shape and color
 D3 – Central Red",D,F+,Vet,Ban
,11,^,"Si on enlève le nœud
 papillon, il y a un serveur ici
 (cache droite), qui s’apprête à
 retirer une chaise et qui est
 légèrement en arrière et il y a
 quelqu’un qui fait la même chose
 de l’autre côté. Mais du coup, la
 table est minuscule.
 Mais là t’as vraiment le serveur
 avec la tête, les bras sur la chaise
 et avec les jambes et hum voilà
 (montre sur l’image).˄ Les tâches là m’évoquent pas
 grand-chose","If we remove the knot
 butterfly, there is a waiter here
 (right cover), which is about to
 remove a chair and who is
 slightly back and there is
 someone who does the same thing
 on the other side. But suddenly, the
 table is tiny.
 But there you really have the server
 with head, arms on chair
 and with the legs and um there you go
 (shown in the image).˄ The tasks there don’t remind me of
 much","« La forme et la
 couleur noire car les
 serveurs sont habillés
 en noir »
 D1 – les deux parties
 noires latérales + le D
 noir médian D19 – deux rouges
 latéraux supérieurs","“The form and
 black color because the
 waiters are dressed
 in black ""
 D1 – both parts
 side notes + D
 middle black D19 – two reds
 upper lateral",D,KC’+ -,H /Obj,"→Sym →Refus
 Choc R"
,12,v,"Et alors comme ça, dans
 le sens-là, pour moi, un insecte,
 des gros yeux là (montre), des
 mandibules là (montre), et les
 papattes là (montre). Une fois
 encore, ça sous-entend d’occulter ça (cache les deux taches rouges
 de chaque côté en bas avec ses
 mains).Et en fait, je l’aime bien celui-ci
 par rapport aux autres","And then like that, in
 that means, for me, an insect,
 big eyes there (points),
 mandibles there (shows), and the
 papattes there (shows). Once
 again, that implies concealing that (hide the two red spots
 on each side at the bottom with its
 hands).And actually, I like this one
 compared to others","La forme et la couleur
 noire
 « Oui une grosse
 mouche quoi » D1 – les deux parties
 noires latérales + le D
 noir médian","Shape and color
 black
 “Yes a big one
 fly what » D1 – both parts
 side notes + D
 middle black",D,FC’+/-,A,"Ref phal
 Yeux Affect"
,13,v,"Une fois encore tu peux
 reconnaitre des têtes (montre),
 t’aura quelqu’un qui ferait… je
 sais pas… Genre une fois encore
 les jambes (montre), et qui est en
 train de…
 Et là les bras encore, et qui est en
 train de s’étendre derrière comme
 ça (mime), comme s’il faisait de la
 gym avec les jambes en l’air.
 (cache le bas de l’image avec ses
 mains).Ouai faut un peu d’imagination
 mais heu…. Ça se fait encore bien.
 Après je suis d’accord que les
 formes et les proportions sont pas
 respectées mais c’est le truc que je
 vois en tous cas.˅ Ces tâches-là m’inspirent
 vraiment pas, nulle part je les vois
 dans aucuns trucs en fait.","Once again you can
 recognize heads (show),
 you will have someone who would… I
 I don’t know… Like once again
 legs (shows), and who is in
 train of…
 And there the arms again, and who is in
 stretching out behind like
 that (mimes), as if he were doing
 gym with legs in the air.
 (hides the bottom of the image with its
 hands).Yeah, you need a little imagination
 but uh…. It's still doing well.
 Afterwards I agree that the
 shapes and proportions are not
 respected but that’s the thing I
 see in any case.˅ These tasks inspire me
 really not, nowhere do I see them
 in no stuff actually.","« Là les têtes avec le
 nez, le menton
 Les jambes seraient là,
 et ça serait cohérent
 avec les mains en
 arrière là pour avoir le
 centre de gravité. La
 forme et la couleur
 parce que j’imagine
 une personne à la peau
 noire »
 Dd32 Moitié inférieure
 du noir (D1) D19 – deux rouges
 latéraux supérieurs","“There the heads with the
 nose, chin
 The legs would be there,
 and it would be consistent
 with hands in
 back there to get the
 center of gravity. There
 shape and color
 because I imagine
 a person with skin
 black ""
 Dd32 Lower half
 black (D1) D19 – two reds
 upper lateral",Dd,KC’+,H,"Orig
 Ref phal
 Persp anale Critobj"
,14,v,"Ce qui est drôle dans le
 personnage qui remonte là c’est
 que genre il a une espèce de crête,
 tu vois, les cheveux un peu
 n’importe comment, genre un
 style…","What's funny about
 character who goes back there is
 that like it has a kind of crest,
 you see, the hair a little
 anyhow, like one
 style…","La forme plus la
 couleur noire
 Dd32 Moitié inférieure
 du noir (D1)","The best shape
 black color
 Dd32 Lower half
 black (D1)",Dd,FC’+,Hd,Ref phal
,15,v,"Comme ça, ça me fait
 penser à… que le creux, les deux
 trous là en fait (montre), quand tu
 regardes un crâne sur une radio ça
 fait vraiment le trou des yeux
 parce qu’en fait c’est comme si
 t’avais le changement de densité
 ici (montre)","Like that, it makes me
 think about… that the hollow, the two
 holes there actually (show), when you
 look at a skull on a radio
 really catches the eye
 because in fact it’s as if
 you had the change in density
 here (shows)","« La forme et la
 couleur noire avec la
 densité »
 D4 – les deux parties
 noires du D inferieur
 médian","“The form and
 black color with
 density ""
 D4 – both parts
 black notes of lower D
 median",D,EFC’-,Anat/Radio,Yeux
,16,^,"Du coup ça me fait
 penser, si je peux inclure ça
 comme infos, au squelette, ça va te
 faire rire, de Indépendance Day,
 des méchants, des extraterrestres,
 c’est un espèce de squelette
 chelou, super évasé comme ça,
 voilà.","So it makes me
 think, if I can include that
 as information, to the skeleton, it suits you
 make people laugh, from Independence Day,
 bad guys, aliens,
 it's a kind of skeleton
 weird, super flared like that,
 There.","« Je te l’ai pas dit mais
 ça fait penser à une
 radiographie mais c’est
 la radio du squelette du
 vaisseau »
 La couleur et après la
 forme
 D7 – toute la partie
 inférieure médiane","“I didn’t tell you but
 it makes you think of a
 x-ray but it is
 the skeleton's radio
 ship »
 The color and after
 shape
 D7 – the whole game
 lower middle",D,EC’F,"Squel / Art
 / (H)","→Radio
 Critobj"
IV,17,^,"Ça casse tout car ça me
 fait penser à beaucoup de choses
 ici, genre une tête bah un buffle ou
 un sanglier, un truc comme ça tu
 vois (cache le reste de la planche
 avec ses mains).","It breaks everything because it
 makes you think of a lot of things
 here, like a head, a buffalo or
 a wild boar, something like that you
 see (hide the rest of the board
 with his hands).","« Le côté squelettique »
 La forme
 D1 – Partie médiane
 inférieure","“The Skeletal Side”
 The form
 D1 – Middle part
 lower",D,F+,Ad,"ou
 Critobj
 Ref phal
 →Squel"
,18,^,"Et si tu le mets comme ça
 (incline la planche), ça fait des
 visages mais bon bref on s’en fout
 des détails","And if you put it like that
 (tilts the board), it makes
 faces but in short we don't care
 details",Le tout,The whole thing,G,F-,Hd,"→E
 autocrit"
,19,^,"Ça ça me fait penser à des
 oreilles de cochons, je sais pas pourquoi mais tu sais les oreilles
 de cochons qui sont rabaissées","That makes me think of
 pig ears, I don't know why but you know ears
 of pigs who are demeaned","« La forme allongée
 des oreilles, la couleur ça me l’a fait
 transformer après en
 minotaure »
 D18 – les deux saillies
 latérales supérieures","“The elongated shape
 ears, the color did it to me
 transform afterwards into
 minotaur »
 D18 – the two projections
 upper lateral",D,F+,Ad,Ref phal
,20,^,"Et quand tu caches comme
 ça, (enlève la tête de buffle) je suis
 sur le dos d’un cochon genre en
 train de le chevaucher, parce qu’en
 fait, t’as les oreilles et t’as le bout
 du nez, t’as même des épaules ça
 fait plus minotaure que cochon,
 c’est des épaules qui remontent
 Et tu vois tous ses trucs là, ces
 changements de densité, je sais
 pas, ça fait vachement pelage en
 fait, comme si t’étais derrière un
 minotaure comme ça.","And when you hide like
 that, (removes the buffalo head) I am
 on the back of a pig like in
 riding him, because
 done, you have the ears and you have the edge
 nose, you even have shoulders
 more minotaur than pig,
 it's shoulders that go up
 And you see all his stuff there, these
 density changes, I know
 no, it's really confusing
 done, as if you were behind a
 minotaur like that.","« La couleur noire et la
 forme, les deux en
 même temps, comme si
 t’avais un pelage et
 suivant comme si les
 poils étaient rangés à
 peu près, ça donne cette
 impression de reliefs,
 t’as ce truc du milieu,
 t’as vraiment les
 oreilles et t’as genre
 son crâne ou je sais pas
 quoi, ça ca redescend,
 et les épaules à peu
 près à ce niveau et il est
 barraque tu vois avec
 les bras non ou alors
 c’est un cou plutôt et il
 est fort, et ses épaules
 qui remontent. C’est
 pour ça que je dis
 minotaure mais ça fait
 vraiment tronche de
 cochon vu de derrière »
 D9 - toute la tache sauf
 le D inférieur médian","“The color black and
 form, both in
 same time, as if
 you had a coat and
 following as if
 hairs were stored
 approximately, it gives this
 printing of reliefs,
 you have this middle thing,
 you really have the
 ears and you like
 his skull or I don't know
 what, it's coming back down,
 and the shoulders a little
 close to this level and it is
 barracks you see with
 arms no or else
 it's rather a neck and it
 is strong, and his shoulders
 which go back up. It is
 why I say
 minotaur but that's
 really stupid
 pig seen from behind »
 D9 - all stain except
 the middle lower D",G,KC’E-,(A),"Persp Anale
 Ref phal
 →Clob
 Ref pers CritObj"
,21,>,"Alors ça c’est une ligne (la
 trace avec son doigt), de l’eau
 (montre le bas), pas de l’eau (montre le haut), pour faire simple
 ou l’inverse","So that’s a line (the
 trace with his finger), water
 (shows the bottom), not water (shows the top), to put it simply
 or the opposite","En fait tu as le reflet de
 tout ce qu’il y a audessus du canal C’est là où le dessin a
 plié
 A chaque fois c’est la
 forme qui m’y a fait
 penser la couleur c’est
 juste pour la nuit","In fact you have the reflection of
 everything above the channel This is where the drawing has
 folded
 Every time it's the
 form that made me there
 thinking about color is
 just for the night",G,FEC’-,Elem,"Reflet
 →Sym"
,22,>,"Tu vois le fait que là ça
 part en profondeur par là-bas tu
 vois (à gauche), genre ici tu peux
 avoir des nénuphars, des machins,
 des trucs comme ça, et tu passes à
 côté de la flotte et tu as genre un
 lac ou un truc comme ça","You see the fact that there
 go deep over there you
 see (left), like here you can
 have water lilies, things,
 stuff like that, and you move on to
 side of the fleet and you have like a
 lake or something like that",La forme et la couleur,Shape and color,G,FEC’-,"Scen / Bot
 / Elem",→K Ref pers
,23,>,"En fait, on a l’impression
 que c’est un lac ou un canal plutôt,
 ça c’est le bord du canal ici
 (montre la ligne), donc tu as le
 reflet, ce qui est drôle car la nuit,
 t’as pas de reflet parce que t’as pas
 assez de lumière mais comme
 c’est sombre ça donne envie
 d’imaginer la nuit.","In fact, we have the impression
 whether it is a lake or a canal rather,
 This is the edge of the canal here
 (shows the line), so you have the
 reflection, which is funny because at night,
 you don't have a reflection because you don't have
 enough light but like
 it’s dark it makes you want
 to imagine the night.",La forme et la couleur,Shape and color,G,FEC’-,Pays,"Repet
 Reflet
 →Clob"
,24,>,"T’as même si tu regardes
 bien tu as des espèces d’ombres
 ici, tu peux imaginer des gens qui
 se baladent, une fois encore
 comme c’est rare la nuit ou alors
 tu imagines le côté brumeux","You even if you look
 well you have some kind of shadows
 here you can imagine people who
 wander around, once again
 how rare it is at night or so
 you imagine the foggy side","« C’est la couleur avant
 la forme qui m’a fait
 penser aux gens, la
 couleur induit la forme
 des gens »","“It’s the color before
 the shape that made me
 think about people,
 color induces shape
 people """,G,C’KE-,"Scen / Frag
 / H","Ref pers
 Autocrit
 Affect"
,25,>,"Ça ça me fait penser à un
 panache de train, je sais même pas
 si c’est pertinent ou pas","That reminds me of a
 train plume, I don't even know
 whether it's relevant or not","« La forme du
 panache »
 Dd4 – Saillie latérale
 supérieure","“The shape of
 plume »
 Dd4 – Lateral projection
 superior",Dd,E-,Frag,"Autocrit
 Ref phal"
V,26,^,"Bah ça on dirait un
 papillon de nuit,","Well that looks like a
 night butterfly,","« La forme plus que la
 couleur mais les deux »
 Le tout","“The form more than the
 color but both »
 The whole thing",G,FC’+,A,BAN
,27,^,"Ça me fait penser à
 Batman aussi (rires) Hum ça me fait penser au papillon
 de nuit plus qu’à Batman
 Et le papillon de nuit, et là je te
 raconte des histoires aussi, tu vois
 je t’avais dit qu’il me fallait un
 peu de temps pour me dérider,
 j’aurai plus de trucs à dire sur les
 cinq dernières du coup, je suis
 désolée (rires)
 Hum l’ambiance, le fait qu’on
 passe un test, que ce soit le
 Rorschach donc il y a un côté test plus psychologique que de
 personnalité dans ma tête mais
 voilà
 Le papillon de nuit ça me fait
 penser à, comment ça s’appelle, le
 silence des agneaux, et tout son
 thème autour du changement et de
 l’évolution que je trouve pour le
 coup très intéressant et qui est
 symbolisé par le papillon plus que
 le papillon de nuit mais heu par le
 papillon, par le côté hum, chenille,
 chrysalide, et changement de peau
 tu vois. Pour le coup, le film est un
 peu flippant mais assez sympa
 Après, moi, Qu’est
 -ce que ça veut
 dire par rapport à moi bah …. Je
 sais pas mais je te partage ce à
 quoi je pense et ça me fait penser à
 ça.
 Humm voilà voilà
 Après si je te partage plus que ça,
 c’est plus par rapport à l’image
 mais faut que tu me dises si c’est
 cohérent ou pas car du coup là je
 vais parler de moins en moins de
 l’image. (réponse : il faut parler de
 l’image, ce que tu vois )
 Le papillon il a des yeux chelou","It makes me think of
 Batman too (laughs) Hm, that reminds me of the butterfly
 at night more than at Batman
 And the moth, and there I
 tell stories too, you see
 I told you I needed one
 little time to relax,
 I will have more things to say about
 last five so, I am
 sorry (laughs)
 Hum the atmosphere, the fact that we
 take a test, whether it is
 Rorschach so there is a more psychological test side than
 personality in my head but
 There
 The moth makes me
 think about, what is it called, the
 silence of the lambs, and all its
 theme around change and
 the evolution that I find for the
 very interesting shot and which is
 symbolized by the butterfly more than
 the moth but uh by the
 butterfly, from the side hum, caterpillar,
 chrysalis, and skin change
 you see. For once, the film is a
 a bit creepy but quite nice
 Afterwards, me, what
 -whatever it wants
 say in relation to me bah…. I
 I don't know but I'll share this with you
 what I think and it makes me think of
 That.
 Hmm, there you go
 Afterwards if I share more than that with you,
 it's more compared to the image
 but you have to tell me if it’s
 coherent or not because then I
 will talk less and less about
 the image. (answer: we need to talk about
 the image, what you see)
 The butterfly has weird eyes","« La forme plus que la
 couleur mais les deux »
 Le tout","“The form more than the
 color but both »
 The whole thing",G,FC’+,(H) / Art,"Ref pers
 autocrit
 Affect
 →Clob
 →Art Yeux
 Critobj"
,28,^,"Ça pour le coup (montre)
 ça me fait un peu froid dans le dos
 parce que ça me fait penser aux
 parasites que tu as dans les
 insectes de manière générale
 Ça leur fait des gros yeux que la
 normale parce qu’en fait il y a un
 parasite qui est à l’intérieur","That for once (shows)
 it gives me a bit of chills down my spine
 because it makes me think of
 parasites that you have in the
 insects in general
 It makes them look big-eyed when
 normal because in fact there is a
 parasite that is inside","« Ça, ça me fait froid
 dans le dos, j’avais vu
 un documentaires et les
 images sont vraiment
 dégueu
 La couleur noire qui
 n’est pas tout unifié
 comme si ça bougeait »
 D8- Les deux saillies
 médianes supérieures
 (Dd2 X 2)","“That makes me cold
 in the back, I saw
 a documentary and
 pictures are really
 disgusting
 The black color which
 is not all unified
 as if it were moving
 D8- The two projections
 upper medians
 (Dd2 X 2)",D,C’FClob-,A,"→E
 →kan
 →ref pers
 →CritObj"
,29,^,"Par contre à l’inverse, la
 queue elle est vachement classe et
 jolie.","Conversely, the
 tail she is really classy and
 pretty.","La forme et la couleur
 noire très unie
 D9 – les deux saillies
 médianes inférieures
 (Dd3 X2)","Shape and color
 very plain black
 D9 – the two projections
 lower medians
 (Qd3 X2)",D,FC’-,Ad,Ref phal
,30,^,"Fait notable et intéressant,
 il va vers l’avant, il est en train
 d’étendre les ailes pour se décoller","Notable and interesting fact,
 he is going forward, he is in the process
 to spread the wings to take off",Le tout,The whole thing,G,kan+,A,"Ref phal
 Repet (aile)"
,31,v,"Parce qu’on pourrait le
 prendre dans ce sens-là, à l’inverse
 ça voudrait dire qu’il aurait déjà
 décollé, il a les ailes en haut enfin
 je sais pas Mais j’aime mieux cette image
 d’élancement surtout parce que la
 queue elle est plus parfaite","Because we could
 take it in this direction, the opposite
 that would mean that he would already have
 took off, his wings are finally up
 I don't know but I like this image better
 of slenderness especially because the
 tail she is more perfect",Le tout,The whole thing,G,kan+,A,Ref phal
,32,v,": Alors que là ce serait
 bizarre et les yeux ne seraient pas
 aussi je sais pas voilà voilà",": While there it would be
 weird and the eyes wouldn't be
 also I don't know that's it",La forme et la couleur,Shape and color,G,FC’+,A,"yeux →critobj
 Rem int"
,33,<,": Là ça me fait penser à
 Freddy Mercury (rire), mais bon
 faut de l’imagination mais je sais
 pas si tu vois cette photo ou il est
 comme ça en arrière (réponse oui)
 Le micro, la tête (montre) et ça
 marche aussi dans l’autre sens",": That reminds me of
 Freddy Mercury (laughing), but hey
 takes imagination but I know
 not if you see this photo where he is
 like that backwards (answer yes)
 The microphone, the head (points) and that
 also works the other way","La forme
 D4 – partie latérale
 gauche","The form
 D4 – side part
 LEFT",D,K-,H,"Critobj
 Ref phal Sym
 →autocrit
 Rem int"
,34,<,": Là je vois un menton, une
 bouche, un nez à moitié…
 Et en fait la façon dont c’est en
 avant, pour le coup c’est un peu
 plus, pas une image super agréable
 et jolie",": There I see a chin, a
 mouth, a half nose...
 And actually the way it is
 before, for now it's a bit
 plus, not a super pleasant image
 and pretty","« La ligne à côté de la
 queue du papillon »
 Dd23 – bordure
 inférieure de la partie
 latérale gauche","“The line next to the
 butterfly tail »
 Dd23 – border
 lower part
 left side",Dd,F+,Hd,"Ref phal
 Critobj
 →Clob"
,35,>,"T’as l’impression là c’est
 un… comment on appelle ça, heu
 merde, un bout de bois super
 grand sur lequel t’es accroché,
 comme si c’était quelqu’un qui
 était accroché à ça parce que ça
 ressemblerait plus à des bras qui
 sont liés derrière, un peu genre
 sorcière qui va être brulée
 Et le fait que ce soit un peu flou ça
 me fait évoquer le côté sorcière
 qui a déjà un peu démarré à brûler
 quoi avec la fumée
 C’est moins réjouissant, je
 préférais Freddy Mercury ˂ Cela dit quand il a la bouche
 fermée, il n’a pas l’air de crier de
 ouf
 Et là sur le même principe, et c’est
 marrant il a fallu que je le retourne
 car je ne le vois pas de ce côté-là,
 je vois vraiment la sorcière","You have the impression there it is
 a…what do we call it, uh
 shit, a great piece of wood
 big one on which you cling,
 as if it were someone who
 was hooked on it because it
 would look more like arms that
 are tied behind, a bit like
 witch who is going to be burned
 And the fact that it's a little blurry
 reminds me of the witch side
 which has already started to burn a little
 what with the smoke
 It's less joyful, I
 preferred Freddy Mercury ˂ That said when he has a mouth
 closed, it does not seem to scream
 phew
 And there on the same principle, and it is
 funny I had to return it
 because I don't see it from that side,
 I really see the witch","« La sorcière c’est la
 couleur noire avec la
 fumée et la forme »
 D4 – partie latérale
 gauche","“The witch is
 black color with
 smoke and shape »
 D4 – side part
 LEFT",D,KC’E-,(H) / Frag,"Ref phal
 →Clob
 Devit
 Critobj Ref phal"
,36,>,"Alors que de ce côté-là, on
 met Freddy Mercury là et tu vois
 plus qlq qui est accroché et ça fait
 plus pole dance, t’as la barre Et je pense que c’est bon oui, il y
 en a des plus inspirantes que
 d’autres","While on this side, we
 put Freddy Mercury there and see
 no longer anyone who is hooked and that's it
 no more pole dance, you have the bar And I think it's good yes, there
 has more inspiring ones than
 others","« Uniquement la
 forme »
 D4 – partie latérale
 gauche","“Only the
 shape ""
 D4 – side part
 LEFT",D,K -,H / obj,critobj
VI,37,^,"Premier truc, ça me fait
 penser à un vaisseau de star wars
 le Xwing, bon après il n’est pas
 exactement comme ça mais ça
 m’y fait penser","First thing, it makes me
 think of a star wars ship
 the Xwing, well after that it is not
 exactly like that but this
 makes me think of it",La forme,The form,G,F+,Obj,→Art
