Pl,Numéros réponse,Position,Réponse (French),Answer (English),Enquête (French),Inquiry (English),LOC,DET,CON,QUAL
,38,^,"Cette partie-là ça me fait
 penser à un poisson (cache le bas
 de l’image) vu du dessus, avec tu
 sais les poissons qui volent là avec
 du coup des ailes voilà vraiment
 vu du dessus quoi, ce côté genre
 du dessus","This part makes me
 think of a fish (hide the bottom
 of the image) seen from above, with you
 know the fish that fly there with
 so the wings are really there
 seen from above what, this side like
 from above","« La forme et la
 couleur et surtout les
 nuances de couleurs »
 D3 – partie supérieure","“The form and
 color and especially the
 shades of colors »
 D3 – upper part",D,FE+,A,"→Persp anale
 Ref phal"
,39,^,"Et ça tous ensemble ça me
 fait penser à une clef
 C’est une clef un peu chelou et
 donc ça… c’est juste qu’elle n’est
 pas très longue et t’imagines ca du
 coup (montre) qui est un peu plus
 allongé","And that all together gives me
 looks like a key
 It’s a bit of a weird key and
 so that… it’s just that she’s not
 not very long and you can imagine that
 blow (show) which is a little more
 elongate","La forme
 Le tout","The form
 The whole thing",G,F-,Obj,"→Ref phal
 Affect
 CritObj"
,40,^,"Ça ça me fait penser à une
 tique avec des petites dents, des
 crochets.C’est marrant parce que je ne
 prends que des parts d’images","That reminds me of a
 tick with small teeth,
 hooks.It’s funny because I don’t
 only take parts of images","« La forme mais c’est
 que la tête de la tique
 en fait »
 Dd10 + Dd28 : petits
 mamelons à la base
 médiane + Crochet
 latéraux (int.) de la
 bordure inférieure
 médiane","“The form but it’s
 than the head of the tick
 In fact ""
 Qd10 + Qd28: small
 nipples at the base
 middle + Hook
 side (int.) of the
 bottom border
 median",Dd,F+,Ad,Ref phal Affect
IX,41,<,"Vraiment dans son
 ensemble là où c’est le plus classe
 ça me refait penser à un rivage, de
 toute façon il y a le côté miroir qui
 fait quand même souvent penser à
 ça.Pour le coup encore plus paisible
 que tout à l’heure. Parce que tout à
 l’heure tu avais, le côté tu
 t’éloignes et tu te rapproches, tu
 vois, t’avais une notion de
 profondeur","Really in his
 together where it’s classiest
 It reminds me of a shore,
 anyway there is the mirror side which
 still often makes one think of
 that. Now even more peaceful
 than just now. Because everything
 the time you had, the side you
 you move away and you come closer, you
 see, you had a notion of
 depth","« La couleur, l’aspect
 sombre et la forme oui
 mais elle me dérange
 car je suis obligé de me
 l’imaginer complet »
 Le tout","“The color, the appearance
 dark and the shape yes
 but she bothers me
 because I am obliged to
 imagine it complete »
 The whole thing",G,C’F-,Pays,"→reflet
 →repet
 →E
 critobj Affect"
,42,<,"Mais là t’as plus
 l’impression que tu es en face d’un
 lac. Ouai, ça me fait plus penser à un lac. Et donc en fait, c’est genre
 de l’eau stagnante.
 Tu vois les trucs comme ça
 (montre), l’eau n’est pas agitée tu
 vois","But there you have more
 the impression that you are facing a
 lake. Yeah, that reminds me more of a lake. And so actually, it's like
 stagnant water.
 You see things like that
 (shows), the water is not agitated you
 see ","Le tout, la variation de
 couleur","All in all, the variation of
 color",G,C-,Elem,"Repet
 →E"
,43,>,"Mais ça fait quand même
 penser à un lac où genre, il pleut
 quoi, il y a genre des roseaux, des
 trucs comme ça
 Puis là ça fait plus, je sais pas
 quoi, j’arrive à imaginer le reste,
 une plaine ou je sais pas quoi
 (montre le gris foncé)","But it still does
 think of a lake where like, it's raining
 what, there are like reeds,
 stuff like that
 Then it's more, I don't know
 what, I can imagine the rest,
 a plain or I don't know what
 (shows dark gray)",La couleur + la forme,Color + shape,G,C’kob-,"Elem / bot
 / pays","→E
 repet
 Ref phal"
,44,>,"Et là tu vois c’est bizarre,
 parce que tu as le changement de
 couleurs, là c’est genre le ciel
 (montre le haut), et là t’as des
 herbes avec au loin la prairie
 fleurie, des trucs comme ça Une fois encore c’est zoomé en
 fait. (S’éloigne sur sa chaise avec
 la planche, la met à distance de ses
 yeux)
 Parce que c’est vrai qu’on pourrait
 s’amuser à regarder l’image
 encore plus éloignée et auquel
 cas… Je sais pas si tu vois ce que
 je veux dire, je m’éloigne pas
 vraiment mais… si tu changes
 l’échelle en fait","And there you see it’s weird,
 because you have the change of
 colors, it’s like the sky
 (points to the top), and there you have
 grass with meadow in the distance
 flowery, stuff like that Once again it's zoomed in
 do. (Walks away in his chair with
 the board, puts it away from its
 eyes)
 Because it’s true that we could
 have fun looking at the image
 even further away and to which
 case… I don’t know if you see what
 I mean, I'm not walking away
 really but… if you change
 the scale in fact","La couleur + la forme
 D4- partie latérale
 droite","Color + shape
 D4- side part
 RIGHT",D,C’EF-,"Pays /
 Elem / Bot",RemC’
,45,>,"Et ce genre de petites
 loupiotes là, ces éclaircissements,
 ça peut être des trucs de villes en
 fait, carrément, au loin et du coup
 ça a un horizon très lointain et du
 coup ce qui explique que ce soit
 un peu brouillard
 Typiquement ça, ça serait plus
 proche, genre t’arrives, je sais pas
 moi en bateau, t’arrives sur un truc
 comme ça et t’as les lumières de la
 nuit une fois encore Mais c’est marrant parce qu’en
 fait, pour pouvoir imaginer ça, ce
 que j’ai tendance à faire, c’est
 imaginer, enfin compenser le
 blanc en fait. Dans ma tête, tu
 vois, c’est-à-dire que cette partielà n’est pas logique dans cette
 image que je t’évoquais, si on
 essaie d’en faire un tableau heu…
 ça c’est pas logique donc j’occulte
 (pfiou-bruit pour l’enlever avec sa
 main), parce que sinon ça perd un
 peu de ça…(montre là où il remet
 du gris)","And this kind of small
 there, these clarifications,
 it could be city stuff
 done, squarely, in the distance and suddenly
 it has a very distant horizon and
 suddenly which explains why it is
 a little foggy
 Typically that would be more
 close, like you're coming, I don't know
 me on a boat, you arrive at something
 like that and you have the lights of the
 night once again But it's funny because in
 done, to be able to imagine that, that
 what I tend to do is
 imagine, finally compensate for the
 white actually. In my head, you
 see, that is to say that this part is not logical in this
 image that I evoked to you, if we
 try to make a picture of it uh...
 that's not logical so I'm hiding
 (pfiou-noise to remove it with its
 hand), because otherwise it loses a
 little of that…(shows where he puts
 gray)","La couleur
 D4- partie latérale
 droite","The colour
 D4- side part
 RIGHT",D,C’E,Obj,"Repet
 →K Affect
 Critobj
 Choc blanc"
X,46,^,"Ça ça fait un pistolet
 (piou-piou bruit de tir) Et ouai non, je sais pas, hum…","That makes a gun
 (peep-peep sound of gunfire) And yeah no, I don’t know, um…","La forme et c’est star
 wars qui m’y a fait
 penser car ils ont des
 pistolets comme ça","The shape and it's star
 war that made me there
 think because they have
 guns like that",G,F-,Obj,→impot
,47,<,"Ça ça fait plus penser à
 des flammes","That makes me think more of
 flames","Les flammes c’est la
 couleur blanche –
 La couleur
 D4- partie latérale
 gauche","The flames are there
 White color -
 The colour
 D4- side part
 LEFT",BI/D,C’-,Elem,
,48,<,"Et donc tu es sûr, je sais
 pas moi genre heu… un bord de
 heu… une fois encore t’as le côté
 flotte, et t’as le côté forêt qui brûle
 quoi, incendie d’été ou je sais pas
 Du coup-là c’est beaucoup plus
 cohérent parce que c’est la fumée
 qui part de ça","And so you're sure, I know
 not me like uh... an edge of
 uh... once again you have the side
 floats, and you have the forest side that burns
 what, summer fire or I don't know
 So it's much more
 coherent because it's smoke
 who starts from that","La couleur blanche et
 la forme
 D4- partie latérale
 gauche","The white color and
 the form
 D4- side part
 LEFT",D,C’kobE -,Elem / bot,"→Repet (eau
 et flotte et
 brûlée)
 Repet (fumée)"
,49,v,"Ça, ça peut être une raie
 aussi, avec le truc qui pique mais
 heu… généralement c’est
 beaucoup plus fin quand même,
 mais fin voilà quoi.","That could be a line
 also, with the thing that stings but
 uh… generally it’s
 much finer though,
 but that's what.","Le tout, la forme","The whole, the form",G,F+,A,"Ref phal
 →critobj"
,50,v,"Et là c’est un monsieur
 grincheux avec un œil, un gros pif,
 une bouche et un menton et pas
 beaucoup de cheveux sur le
 caillou Ouai je pense que c’est bon","And there it is a gentleman
 grumpy with one eye, a big nose,
 a mouth and a chin and not
 lots of hair on the
 pebble Yeah I think it's good","La forme
 – D4 partie latérale
 gauche moins la moitié","The form
 – D4 side part
 left minus half",Dd,F-,H,"Yeux
 Eqe
 Critobj
 Ref phal
 Persev"
VII,51,^,"Moi je vois un lapin mais
 alors là il est compliqué à
 expliquer (rires).","I see a rabbit but
 then it is complicated to
 explain (laughs).","La forme
 D1 – Tiers supérieur
 latéral droite","The form
 D1 – Upper third
 right side",D,F-,A,
,52,^,"Argh en plus on peut
 même faire un éléphant, genre la
 trompe, la patte et tout ça, avec
 une espèce de truc là",,"La forme
 D1 – Tiers supérieur
 latéral droite",,D,F-,A,Ref phal
,53,^,"Ça peut être des chevaux
 aussi",,"La forme
 D14 – Tiers supérieur
 droite et gauche",,D,F-,A,
,54,^,"Mais un peu sur la même
 logique, en fait, je vais être
 honnête avec toi, ça m’a fait
 penser à un lapin maintenant je
 suis incapable de te le décrire, ah
 si peut être le nez un peu là
 (montre)
 Ce qui est assez drôle c’est du
 coup que là c’est l’oreille qui
 monte et tout ça, et la patte qui est
 un peu pas du bon côté quoi mais
 humm Au départ quand je pensais à un
 lapin, je ne le pensais pas mort
 (rires) c’est que une fois que
 t’essaies de te poser sur le truc
 que…",,"La forme
 D1 – Tiers supérieur
 latéral droite",,D,F-,(A),"Ref phal
 →Impot
 Affect
 Devit"
,55,v,"Et là dans le sens-là (me
 montre la planche en la regardant
 lui à l’envers de ce qu’il voit) ça
 me fait penser, mais alors c’est
 marrant, parce que c’est pas une
 ombre c’est l’inverse en fait, c’est
 le négatif d’un mec avec un
 chapeau genre Napoléon tu vois,
 et là c’est son col tu vois avec le
 col remonté comme ça (fait les
 geste) pour avoir bien chaud,
 Il a un chapeau genre Napoléon tu
 vois, et derrière tu as la nuit et lui
 il est vachement éclairé au point
 qu’on ne voit pas son visage",,"La forme et la couleur
 blanche
 Dbl7 – lacune centrale
 entière",,Dbl,FC’E+,H / Vêt,"Ref phal
 Persev (nuit)
 Repet
 (chapeau)
 →radio"
,56,v,"Mais en fait, sur le
 principe ça me fait plus penser à
 une peinture, parce qu’en fait t’as
 des trucs qui seraient des…. Et ça
 coule en fait, genre tu vois tu as
 mis la peinture et machin, t’as fait
 ton Napoléon c’est cool et hop ça
 coule en fait (montre le dessous de
 l’image).",,"La forme et la couleur
 blanche
 Dbl7 – lacune centrale
 entière",,Dbl,kobC’E-,Frag / Art,
,57,v,"Et aussi un éléphant, avec
 les yeux, la trompe là, mais faut
 occulter ça (cache le reste de
 l’image)",,"La forme
 D3 – tiers médian
 latéral droite",,D,F+,A,"Yeux
 Ref phal"
,58,>,"Et alors comme ça, ça
 fait vachement penser à un feu et
 encore plus que tout à l’heure car
 t’as la notion de vent qui va avec
 tu vois,",,"La forme de la fumée
 qui me fait déduire le
 feu mais il n’y a pas les
 flammes
 Dd9 – Moitié latérale
 droite",,Dd,kob -,Elem,"→Repet (feu
 /flamme)
 Confab"
,59,>,"T’as une petite île où t’as
 plein de fumée qui est émise et tu
 vois t’as trois événements de feu,
 ‘fin tu vois ou genre des
 bourrasques qui fait que ça s’est
 « dissocié » une première qui a
 fait une colonne de fumée là, une
 deuxième là et encore une là.
 T’as la notion de feu avec le vent
 du coup
 Et vu la forme ça peut même être
 un feu de camp en fait. T’as
 vraiment ce côté un peu arrondi-là
 de flamme qui fait ça. Et ça fait
 genre t’essayes de faire des
 signaux de fumée un truc comme
 ça",,"La forme
 Dd9 – Moitié latérale
 droite + Dd 13 – partie
 grise médiane
 inférieure et base du
 tiers inférieur",,Dd,kobE-,Pays/ Elem,"→Ref inf
 Repet
 (flamme)"
,60,<,"Et maintenant que j’ai vu
 ça, de l’autre côté je vois
 exactement la même chose. Juste
 le vent est dans l’autre sens quoi Pour le coup je trouve que c’est
 assez joli la façon dont ça a été…
 C’est d’autant plus cohérent avec
 le fait que tu vois la fumée et après
 tout est blanc c’est-à-dire que ton
 feu de camp, c’est drôle parce
 qu’on ne voit pas les flammes,
 encore une incohérence mais il a
 vachement de lumière autour, tu
 vois.
 Après ça c’est surtout de la
 rationalisation parce que ce qu’on
 voit surtout c’est le feu.",,"La forme
 Dd9 – Moitié latérale
 gauche + Dd 13 –
 partie grise médiane
 inférieure et base du
 tiers inférieur",,Dd,kob-,Elem,Repet
,61,>,"Ça me fait penser à un
 voilier aussi, mais alors là ne me
 demande pas où",,"La forme dans le blanc
 intérieur
 « Pas sûr que ma
 grand-mère apprécie la
 concurrence avec le
 voilier »
 Dbl7 – lacune centrale
 entière",,Dbl,FC’-,Obj,Ref pers
VIII,62,<,"Je vois et c’est très joli ça
 un mix entre un ours et un chien,
 juste la tronche qui fait ours, mais
 là t’as vraiment des jambes fin’ je
 sais pas en plus comme c’est,
 vraiment bien foutu, là t’as
 l’ombre à l’intérieur celle-ci est
 légèrement plus foncée (montre
 les pattes).",,"« Mais en fait je vois
 plus un loup »
 La forme et la couleur
 D1- Partie rose latérale
 gauche",,D,FCE+/-,(A),"(BAN)
 Ref phal
 Confusions
 des règnes"
,63,<,": Donc en fait t’as une
 espèce de rocher là, sur lequel, il
 est en train d’avancer, celle-là (la
 patte) elle est un peu dans le vide
 et genre il atterri de l’autre côté C’est assez joli dans ce sens là",,"La forme et la couleur
 D1- Partie rose latérale
 gauche + Dd31 moitier
 du gris haut gauche +
 Dd33 moitié verticale
 du deuxième tier
 gauche + la moitier de
 D2 orange et rose du
 centre bas",,Dd,kanC +,Nat / A,→ref phal
,64,^,"mais une fois encore ça
 me fait penser à un, merde,
 comment dire, un utérus pour le
 coup. Avec les trompes là (montre
 ours),",,"La couleur rose et La
 forme
 Dd20 – le troisième tier
 (D2) et les parties roses
 latérales (D18)",,Dd,CF-,Anat,"Ref phal
 →Sex"
,65,v,"Ça, ça me fait penser à un
 squelette mais je pense que les
 côtés un peu couleur blanche m’y
 fait pas mal penser.
 Squelette un peu bizarre j’en
 conviens
 Là t’as les yeux le nez, ça fait
 genre tête de cerf un peu en
 squelette, un cerf un peu bizarre
 Ça, ça peut être des dents, c’est un
 animal bizarre qui est mi rongeur,
 tu vois parce que tu as les deux
 dents de devant qui font partie du
 squelette, les yeux là et en mode
 ça fait un peu peur, tu vois, parce
 que t’as les yeux je trouve un peu
 chelou, tu vois",,"La forme et la couleur
 blanche
 D4 – gris supérieur +
 Dd3- lacune médiane
 dans le bleu supérieur
 (les deux côtés) +
 Dbl41 – lacune latérale
 supérieure (les deux
 côtés)",,Ddbl,FC’Clob-,Squel /Ad,"Rem C
 →autocrit
 Yeux
 →Confusion
 des règnes
 →Devit"
,66,v,"Ça fait un peu labyrinthe
 de Pan",,"La forme et la couleur
 blanche
 D4 – gris supérieur +
 Dd3- lacune médiane
 dans le bleu supérieur
 (les deux côtés) +
 Dbl41 – lacune latérale
 supérieure (les deux
 côtés)",,Ddbl,FC’-,Arch / Art,"Persev (eau)
 Repet (île)
 →reflet"
,67,>,": Puis pour le coup, si on
 occulte un peu l’espèce d’ours qui
 saute, en fait, ça fait vachement
 île. Ça me fait penser à l’eau à
 chaque fois avec genre un soleil
 qui se lève, t’as la rosée du matin
 et t’as la zone un peu plus avec les
 îles avec le brouillard d’un côté
 (gris) et le côté soleil qui se lève
 (orange), avec des jolies fleurs et
 au milieu le delta avec un peu
 moins d’humidité et le ciel",,"« Mais t’as le côté
 tacite ou on est en bord
 de mer avec la flotte
 qui reflète »
 La couleur
 D9 – l’ensemble sans
 les parties roses latérale",,D,CkobE -,"Pays /
 Elem /
 Frag / Bot",
,68,v,"humhum ; Là si on
 regarde que le blanc, pas les
 couleurs, tu vois deux personnes
 qui sont en train de discuter,
 Là faut vraiment regarder en
 négatif, quoi le blanc avec la table,
 l’environnement,
 C’est méta, tu vois ça pourrait être
 nous (rires)",,"« La forme et la
 couleur blanche car
 c’est dans le négatif de
 la photo »
 Dbl 41- Lacune latérale
 supérieure (des deux
 côtés) + Dbl 46 –
 Ensemble des lacunes
 entre le deuxième tiers,
 le rose du troisième
 tiers et les roses
 latéraux +
 D5 deuxième tiers bleu
 (la table)",,Ddbl,KC’-,H / obj,"→radio
 Ref pers"
,69,v,"là tu as genre les yeux
 (montre), il y a quelqu’un qui a un
 masque blanchâtre, les yeux et il a
 un front avec une espèce de grosse
 calotte, ça fait une grosse tête",,"D8 - gris supérieur et
 deuxième tiers bleu +
 Dbl 41 – une partie de
 la lacune latérale
 supérieure de chaque
 côté (yeux)",,Ddbl,FC’-,"H / Mq /
 vêt","Affect
 Yeux
 Ref phal"
,70,v,"Ça me fait même penser
 un peu au masque japonais un peu,
 les masques que portaient les
 samouraïs, je sais que ça ne
 ressemble pas à ça mais ça me fait
 penser à ça pour effrayer
 typiquement. Mais il a un peu l’air con car je
 sais pas, le choix des couleurs du
 masque sont pas très effrayantes,
 rose, bleu clair comme ça c’est
 très reposant et le rose je trouve
 pas ça très agressif tu vois Et sur le même principe du coup,
 une fois encore, en fait il est
 intéressant celui-là parce qu’il a
 vraiment plein de couleurs, c’est
 pas que les couleurs mais il a plein
 de ….",,"La forme et les
 couleurs
 D8 - gris supérieur et
 deuxième tiers bleu",,D,FC-,Mq,"→clob
 Rem C +
 Cn"
,71,v,"Tu vois on peut encore
 retrouver le feu que j’ai évoqué
 avec la couleur qui joue
 énormément mais bon la fumée
 rose c’est un peu chelou quoi
 (orange)",,"Le tout et la couleur
 rose",,G,EC,"Elem /
 Frag","Persev (feu)
 Persev
 (fumée)
 →K
 →crit obj"
,72,^,"Au sens large, il y a
 tellement de têtes genre un raton
 laveur, le côté blanc avec le plus
 foncé au-dessus",,"La forme et la couleur
 blanche
 Dbl 41- Lacune latérale
 supérieure (des deux
 côtés) + Dbl 32 –
 lacune entre bleu et
 (D5) et rose (D6) +
 + D8 – Gris supérieur
 et deuxième tiers bleu",,Ddbl,FC’-,Ad,
,73,^,"La encore des yeux, des
 oreilles, ça me fait penser à un
 panda roux du coup la forme",,"La forme et la couleur
 blanche
 D19- Le premier et le
 deuxième tiers (D8) et
 les deux parties roses
 latérales (D18) +
 Dbl 41- Lacune latérale
 supérieure (les deux
 côtés) + Dbl 32 – lacune entre bleu et
 (D5) et rose (D6)",,Ddbl,FC’-,A,"Yeux
 Ref phal Autocrit
 Sym"
IX,74,v,"Dans ce sens-là, on dirait
 une robe de mariée tu vois, t’as les
 bras, t’as un visage avec les
 cheveux, le visage est un peu mal
 foutu mais t’as les cheveux",,"La couleur et la forme
 « C’est la mariée et on
 pourrait mettre les yeux
 là »
 Le tout",,G,CF+,Vêt / Hd,"Ref phal
 →yeux
 →critobj
 →H
 →Contam"
,75,v,"Si on va plus loin, ces
 trucs là, ça peut être des ailes
 (montre le vert) et on y revient à
 mon ange",,"La forme la couleur
 Et avec le orange ça
 fait une libellule avec
 quatre ailes
 D11 – l’ensemble des
 deux parties vertes
 latérales",,D,FC-,(Hd),"Ref phal
 Persev (ailes)
 Repet (ange)"
,76,v,"Après ça peut me faire
 penser à tous les animaux de la
 Terre, ça me fait penser à un
 animal encore. La petite oreille, le nez, la gueule ici, un peu
 bizarroïde",,"La forme
 D1 – la couleur latérale
 droite",,D,F+,A,"Repet
 Ref phal
 CritObj"
,77,v,"Ça (rose), ça m’a fait
 penser, c’est impossible à
 expliquer. Sur les trains à vapeur,
 t’as un asservissement qui a cette
 forme là, ça, ça veut juste dire que
 j’aime bien mon boulot (rire). En
 fait ; C’est les boules de newton
 qu’on appelle ça et hum, en gros
 c’est un truc ça tourne, plus ça
 tourne vite avec le poids, plus ça
 tourne vite, plus ça s’éloigne du
 coup ça ferme la chappe qui
 relâche de la vapeur qui fait que ça
 libère plus de vapeur et comme ça
 libère plus de vapeur ça tourne
 moins vite du coup ça se
 rapproche, comme ça se
 rapproche, ça serre un peu du coup
 ça fait que ça chauffe ça monte en
 pression et ça continue comme ça.
 Mais bon c’est voilà",,"La forme avec la tige
 D9 - Tiers inférieur
 rose en entier + axe
 médian (D5)",,D,F-,obj,"Repet (train)
 Ref pers
 Ref phal
 →K
 →E"
,78,^,"maintenant si mais ça m’a
 pris du temps… mais une vallée
 avec des arbres, une cascade un
 peu au milieu genre hum…
 Initialement ça me faisait penser à
 une vallée mais en fait avec le
 petit truc là légèrement arrondi tu
 voyais le soleil arriver derrière
 dans la vallée.
 Après j’ai vu une cascade et
 effectivement ça, ça peut faire
 penser à de l’eau qui tombe sauf
 que ça n’a rien à voir parce que ce
 n’est pas dans le bon sens mais t’as vraiment ce côté la vallée, les
 arbres, t’as genre ici ça heu…la
 montagne, par contre le soleil
 arrive par
 -là, par contre, il est
 vachement grand le soleil mais il
 n’est pas si éblouissant que ça,
 donc bon voilà",,"Le tout
 La forme et le dégradé
 des couleurs",,G,F-,Pays,"Repet (soleil)
 Ref phal
 Eqa"
,79,>,"Là je vais un peu plus loin
 en termes d’interprétation, là en
 fait j’ai l’impression qu’il y a
 quelqu’un allongé avec un lit
 remonté et quelqu’un qui est
 comme ça (s’appuie avec ses
 coudes sur la table) à côté, tu vois,
 et du coup la scène que j’interprète
 c’est que là t’as un troisième
 personnage, trois couleurs trois
 personnages
 Celui
 -là est plus proche, avec une
 grosse tête tu vois, c’est un enfant
 Là c’est un adulte (vert) , un
 adulte qui borde le mourant, et le
 gosse qui est à côté qui regarde la
 scène.
 et un autre adulte (orange), là je le
 vois comme un adulte mourant
 (orange), Ce qui est assez drôle, je pense
 que c’est le jeu des couleurs qui
 fait ça, c’est peut être cliché mais
 je vois un homme (vert), une
 femme (orange), et
 paradoxalement, je vois un petit
 garçon
 Je pense que c’est parce que ça me
 rappelle une scène que j’ai déjà vu
 en l’occurrence, mais les genres là
 ils sont inversés c’était ma tante
 qui bordait mon arrière-grand-père je crois, une grande tante que je
 connais à peine.",,"La couleur car une
 couleur un personnage
 et la forme pour
 l’histoire
 C’était flippant de voir
 ça
 Dd34
 – moitié latérale
 de la tache entière (G)
 gauche C’est drôle parce que je
 vois la poitrine (dans le
 orange) et une pipe
 (dans le vert) mais je
 n’ai jamais vu une
 femme fumer la pipe.
 Puis bon quand tu
 bordes un malade tu
 fumes pas une pipe
 quoi. Il a des lunettes
 aussi puis j’imagine
 vraiment le mec avec
 ses lunettes sa pipe et
 voilà.",,Dd,CK-,H / Obj,"→Clob Devit
 Contam Affect
 Rem C+
 Ref pers →autocrit
 Ref phal"
,80,>,"Cette zone-là, une fois
 encore, de t’façon je crois qu’on
 voit toujours un peu la même,
 chose, mais là avec le choix des
 couleurs, on dirait vraiment une île
 et c’est pour le coup assez joli car
 les couleurs commencent à
 vraiment devenir intéressantes.
 T’as vraiment l’île avec le début
 du bout de orange et tout ça, t’as
 vraiment la mer et le ciel mais qui
 sont un peu embrumés tout ça
 vraiment très joli Voilà
 C’est marrant parce qu’ils ne
 mettent de la couleur qu’à la fin,",,"La forme et l’intérieur
 bleu clair
 Dbl8 – Lacune centrale",,Dbl,FCE-,Pays,"Rem C+
 →critobj
 Persev (île)
 Cn
 →K"
X,81,^,"Ça me fait penser à une
 mouche, non à un moustique
 plutôt, genre la trompe super fine,
 avec les gros yeux",,"La forme
 D11 – Gros médian
 supérieur entier",,D,F+/-,A,"Ref phal
 yeux"
,82,^,"Bizarre, je vois un
 bonhomme mais en négatif, c’està-dire que t’as genre les jambes ici
 (montre le blanc), et je sais pas
 pourquoi il a ça sur les jambes,
 une brassière ou je sais pas quoi,
 tu vois, ou un soutif plutôt, et du
 coup la tête est là sauf que les
 proportion sont bizarres, et là c’est
 l’espèce de creux du cou (orange) tu vois, du coup ça fait un super
 cou balaise et il n’y a pas de bras
 Surtout que c’est assez bizarre, il y
 a une ambiance, heu je sais pas
 c’est tout à fait bizarre, mais je le
 vois en négatif c’est ça qui est
 drôle",,"La forme et la couleur
 blanche
 Ddbl30 – Lacune dans
 la partie intérieure +
 D6- bleu médian + D3
 orange médian",,Ddbl,FC’-,(H) / vêt,"Ref phal
 →E
 →Critobj
 →Clob
 →radio"
,83,^,"Ça, ça me fait penser à la
 tour Eiffel",,"La forme et la couleur
 D11 – gris médian
 supérieur entier",,D,FC+,Arch,Ref phal
,84,^,"Ça, ça me fait penser à
 genre des crabes qui se baladent
 avec une feuille",,"La forme
 Dd55- Bleu latéral +
 vert latéral supérieur
 (Dd 32*2)",,Dd,kan+,A / Bot,BAN
,85,^,"Ça, ça me fait penser à
 une fourmi qui se balade genre
 avec une feuille d’automne",,"La couleur et la forme
 Dd51 – Jaune latéral
 (Dd15) + brun latéral
 (D7)",,Dd,kanC+,A/ Bot,
,86,^,": Ça, ça me fait penser à des
 œufs Il y a plein de trucs qui me font
 penser à de la bouffe là-dedans
 aussi",,"La couleur et la forme
 car un rond dans un
 truc
 Des œufs au plat
 D40 – Les deux jaunes
 médians inférieurs
 (D2*2)",,D,CF-,Alim,Ref orale
,87,^,"Tu vois ça, ça me fait
 penser à des crevettes En fait je sais pas, pourtant j’ai
 bien manger à midi, ça me fait
 quand même pas mal penser à de
 la nourriture",,"La couleur et la forme D-42 les deux roses
 latéraux (D9*2)",,D,CF-,Alim,Ref orale →devit Ref pers
,88,v,"J’arrive vraiment pas à
 voir l’ensemble, ça, ça me fait
 penser à des hippocampes tu vois,
 et du pesto (rires), vu que je suis
 parti sur le thème de la nourriture
 et du coup il y a de la continuité Elle ne m’inspire pas de trop, c’est
 dommage, c’est la plus colorée, la
 plus….",,"La forme et la couleur
 –
 D 10 – Vert médian
 inférieur entier",,D,FC +,A / Alim,"Autocrit
 Comb fab Rem C
 Critobj
 →Impot"
,89,>,"C’est un peu capillotracté
 un peu après, mais là t’aurai un
 soleil qui se lève un peu comme
 ça, et des usines avec de la fumée
 très sombre, t’as le soleil, et là je
 sais pas quel est l’origine de ce
 truc là en bleu, mais t’as encore
 vraiment cette notion de vent avec
 le côté usine et la fumée qui est un
 peu plus je sais pas rose, je sais
 pas quoi qui est au contact de je
 sais pas quel autre truc et ça
 change de couleur.
 De toute façon tout va dans le
 même sens Voilà, en fait elle m’inspire pas
 beaucoup celle là",,"La forme
 Le tout",,G,kobE-,"Pays / arch
 / Elem /
 Frag","→autocrit
 Repet (vent) →Impot
 critobj"
,90,v,": Là ça me fait penser à une
 chèvre (rires), et pour le coup c’est
 pas trop mal je trouve.
 Tu sais, les chèvres et les chiens
 ils ont ça aussi, en fait ils ont une
 truffe, et un espèce de truc ‘fin tu
 vois quoi, et du coup ça (orange),
 ça me fait vachement penser au
 piff d’une chèvre ou d’un … et c’est ça qui crée le trucs avec les
 yeux ici (montre blanc)",,"La forme dans le blanc
 –
 Ddbl29 Lacune dans la
 partie intérieure
 supérieure + orangé
 médian (cerise)",,Ddbl,FC’-,A,"Ref phal
 Yeux"
,91,v,"T’as un gouffre tu vois,
 t’as le bord du gouffre là, deux
 types, deux personnes qui se
 tiennent la main et qui essayent de
 genre s’aider à passer au-dessus
 du gouffre tu vois, et toi t’as la vue
 d’en dessous, t’es en contreplongée et tu vois les mecs audessus qui essayent de s’aider à
 traverser le gouffre, tu vois",,"La forme –
 D 42 – les deux roses
 latéraux + D6 – bleu
 médian",,Dd,KE-,"H / Nat
 /Scène","Ref phal
 Rem lien"