Réponse (French),(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT
" Moi ça me fait penser à un papillon de nuit avec les mandibules. On dirait un mélange de pleins d’insectes. Il y a les mandibules, 3 ailes, un dard et des yeux de grenouille.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Une personne de chaque côté (forcément, c’est symétrique). Il est fléchi avec sa tête, ses pieds, ses bras",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Une casserole sur une gazinière de… de camping. La gazinière et une grosse casserole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ah deux lapins qui se tapent la main avec les oreilles et les pattes euh…,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et… Une personne avec des grosses lèvres, ses yeux, ses sourcils. Ils ne sont pas…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Et aussi comme une sorte de visage avec le nez, les yeux ici (pointe) et pas de bouche",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ah et ça : ça me ferait penser à un papillon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Une tête de taureau élargie, avec les narines, les yeux, les cornes ici",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je vois aussi une femme qui danse, sa jambe gauche ou droite en fait et ici l’autre jambe, pliée et ses bras sont mis au-dessus de sa tête comme ça.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Un poisson ici,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ici un hippocampe,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comme un oiseau, ça pourrait être un corbeau, ici avec son socle",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Je vois des animaux partout moi !
Je vois des têtes d’animaux avec un bec
",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un chien avec sa langue,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ici, je vois une crevette",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ici je vois des chaussures dans le blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Dans le sombre, comme une route qui part loin avec un coucher de soleil derrière",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Une chauve-souris de haut avec ses pattes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dans le blanc, quelqu’un assis, avachi, qui tient un téléphone ou une télécommande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Une pince ici,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Une clochette dans le blanc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Une lune, une demi-lune",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Je vois des narines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Et ici un enfant assis euh un enfant assis. Celle-ci j’ai eu du mal à trouver des trucs dedans
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Merci, Je vois un chien ou un chat dans le blanc",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une créature énervée avec un corne tordue ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je vois des escaliers. Une fois qu’on voit quelque chose, on n’arrive plus à plus la voir *Arrêt après un long silence*
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Là, une panthère avec une patte décalée",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des mains *prend de la distance avec la planche et revient*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Des cuisses de poulet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Je vois une boule de glace,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des griffes aussi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Autre chose que je vois, je me souviens plus, quelque chose dans la mer. C’est pas du corail, je sais pas ce que c’est",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une créature,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Une pince,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Une créature en jaune,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Je vois deux hommes euh qui se soutiennent à une falaise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Et je vois un poisson,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ok,des ailes d'ange avec des mains et le coté ""ahhh"".",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Et là plus genre un loup avec les yeux et le pelage autour.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aller ca peut etre drole effectivement,un chapeau qui remonte sur les cotés,un peu russe,voilà",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"C'est bizarre,si on peut terminer là-dessus,l'ange là,le fait qu'il y ait une double bosse ic(montre),ca m'a fait un peu bizarre car ca fait le coté avec les mains comme ca(imite l'ange),c'est une espèce d'ange à deux etes tu vois,on voit bien,juste deux tetes c'est bizarre.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il y a un truc qui me perturbe,ce n'est pas symétrique,il y a des taches la(montre) que tu ne vois pas là,ca me perturbe,ce n'est pas symétrique",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Premier truc auquel ça me
 fait penser, et c’est marrant parce
 que c’est pas du tout la forme là,
 mais là, ce creux là, ce vide-là, ça
 me fait penser à quand tu fais un
 bisou avec du rouge à lèvre sur un
 truc et que du coup il reste le trou
 du… du truc… Le rouge ça me
 gêne grave",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça du coup (montre le bas
 de l’image), et c’est un peu gênant
 du coup (rires), mais ça, ça me fait
 penser à des hanches, et ça, le côté
 symétrique ça me fait penser à un
 vagin, mais c’est super flippant du
 coup, (longue pause) gênant plus
 que flippant mais bon…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"Et ensuite, c’est beaucoup
 plus drôle comme ça, ça me fait
 penser à un dromadaire, non
 chameau car deux bosses, avec la
 tête ici (montre) il n’a pas les
 jambes pas la queue mais il a la
 tête ici et une, deux bosses
 (montre), ça occulte un peu le truc
 car c’est pris de manière
 dissymétrique.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça me fait penser à un
 animal marin dont j’ai oublié le
 nom Comme je ne le vois pas comme
 un tout, le côté dissymétrique me
 choque moins. D’ailleurs, il y en a
 moins j’ai l’impression.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça, c’est un nœud
 papillon mais c’est assez classique",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Si on enlève le nœud
 papillon, il y a un serveur ici
 (cache droite), qui s’apprête à
 retirer une chaise et qui est
 légèrement en arrière et il y a
 quelqu’un qui fait la même chose
 de l’autre côté. Mais du coup, la
 table est minuscule.
 Mais là t’as vraiment le serveur
 avec la tête, les bras sur la chaise
 et avec les jambes et hum voilà
 (montre sur l’image).˄ Les tâches là m’évoquent pas
 grand-chose",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Et alors comme ça, dans
 le sens-là, pour moi, un insecte,
 des gros yeux là (montre), des
 mandibules là (montre), et les
 papattes là (montre). Une fois
 encore, ça sous-entend d’occulter ça (cache les deux taches rouges
 de chaque côté en bas avec ses
 mains).Et en fait, je l’aime bien celui-ci
 par rapport aux autres",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Une fois encore tu peux
 reconnaitre des têtes (montre),
 t’aura quelqu’un qui ferait… je
 sais pas… Genre une fois encore
 les jambes (montre), et qui est en
 train de…
 Et là les bras encore, et qui est en
 train de s’étendre derrière comme
 ça (mime), comme s’il faisait de la
 gym avec les jambes en l’air.
 (cache le bas de l’image avec ses
 mains).Ouai faut un peu d’imagination
 mais heu…. Ça se fait encore bien.
 Après je suis d’accord que les
 formes et les proportions sont pas
 respectées mais c’est le truc que je
 vois en tous cas.˅ Ces tâches-là m’inspirent
 vraiment pas, nulle part je les vois
 dans aucuns trucs en fait.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ce qui est drôle dans le
 personnage qui remonte là c’est
 que genre il a une espèce de crête,
 tu vois, les cheveux un peu
 n’importe comment, genre un
 style…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Comme ça, ça me fait
 penser à… que le creux, les deux
 trous là en fait (montre), quand tu
 regardes un crâne sur une radio ça
 fait vraiment le trou des yeux
 parce qu’en fait c’est comme si
 t’avais le changement de densité
 ici (montre)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Du coup ça me fait
 penser, si je peux inclure ça
 comme infos, au squelette, ça va te
 faire rire, de Indépendance Day,
 des méchants, des extraterrestres,
 c’est un espèce de squelette
 chelou, super évasé comme ça,
 voilà.",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça casse tout car ça me
 fait penser à beaucoup de choses
 ici, genre une tête bah un buffle ou
 un sanglier, un truc comme ça tu
 vois (cache le reste de la planche
 avec ses mains).",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et si tu le mets comme ça
 (incline la planche), ça fait des
 visages mais bon bref on s’en fout
 des détails",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ça ça me fait penser à des
 oreilles de cochons, je sais pas pourquoi mais tu sais les oreilles
 de cochons qui sont rabaissées",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et quand tu caches comme
 ça, (enlève la tête de buffle) je suis
 sur le dos d’un cochon genre en
 train de le chevaucher, parce qu’en
 fait, t’as les oreilles et t’as le bout
 du nez, t’as même des épaules ça
 fait plus minotaure que cochon,
 c’est des épaules qui remontent
 Et tu vois tous ses trucs là, ces
 changements de densité, je sais
 pas, ça fait vachement pelage en
 fait, comme si t’étais derrière un
 minotaure comme ça.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alors ça c’est une ligne (la
 trace avec son doigt), de l’eau
 (montre le bas), pas de l’eau (montre le haut), pour faire simple
 ou l’inverse",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tu vois le fait que là ça
 part en profondeur par là-bas tu
 vois (à gauche), genre ici tu peux
 avoir des nénuphars, des machins,
 des trucs comme ça, et tu passes à
 côté de la flotte et tu as genre un
 lac ou un truc comme ça",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"En fait, on a l’impression
 que c’est un lac ou un canal plutôt,
 ça c’est le bord du canal ici
 (montre la ligne), donc tu as le
 reflet, ce qui est drôle car la nuit,
 t’as pas de reflet parce que t’as pas
 assez de lumière mais comme
 c’est sombre ça donne envie
 d’imaginer la nuit.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"T’as même si tu regardes
 bien tu as des espèces d’ombres
 ici, tu peux imaginer des gens qui
 se baladent, une fois encore
 comme c’est rare la nuit ou alors
 tu imagines le côté brumeux",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
"Ça ça me fait penser à un
 panache de train, je sais même pas
 si c’est pertinent ou pas",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bah ça on dirait un
 papillon de nuit,",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça me fait penser à
 Batman aussi (rires) Hum ça me fait penser au papillon
 de nuit plus qu’à Batman
 Et le papillon de nuit, et là je te
 raconte des histoires aussi, tu vois
 je t’avais dit qu’il me fallait un
 peu de temps pour me dérider,
 j’aurai plus de trucs à dire sur les
 cinq dernières du coup, je suis
 désolée (rires)
 Hum l’ambiance, le fait qu’on
 passe un test, que ce soit le
 Rorschach donc il y a un côté test plus psychologique que de
 personnalité dans ma tête mais
 voilà
 Le papillon de nuit ça me fait
 penser à, comment ça s’appelle, le
 silence des agneaux, et tout son
 thème autour du changement et de
 l’évolution que je trouve pour le
 coup très intéressant et qui est
 symbolisé par le papillon plus que
 le papillon de nuit mais heu par le
 papillon, par le côté hum, chenille,
 chrysalide, et changement de peau
 tu vois. Pour le coup, le film est un
 peu flippant mais assez sympa
 Après, moi, Qu’est
 -ce que ça veut
 dire par rapport à moi bah …. Je
 sais pas mais je te partage ce à
 quoi je pense et ça me fait penser à
 ça.
 Humm voilà voilà
 Après si je te partage plus que ça,
 c’est plus par rapport à l’image
 mais faut que tu me dises si c’est
 cohérent ou pas car du coup là je
 vais parler de moins en moins de
 l’image. (réponse : il faut parler de
 l’image, ce que tu vois )
 Le papillon il a des yeux chelou",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ça pour le coup (montre)
 ça me fait un peu froid dans le dos
 parce que ça me fait penser aux
 parasites que tu as dans les
 insectes de manière générale
 Ça leur fait des gros yeux que la
 normale parce qu’en fait il y a un
 parasite qui est à l’intérieur",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Par contre à l’inverse, la
 queue elle est vachement classe et
 jolie.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fait notable et intéressant,
 il va vers l’avant, il est en train
 d’étendre les ailes pour se décoller",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parce qu’on pourrait le
 prendre dans ce sens-là, à l’inverse
 ça voudrait dire qu’il aurait déjà
 décollé, il a les ailes en haut enfin
 je sais pas Mais j’aime mieux cette image
 d’élancement surtout parce que la
 queue elle est plus parfaite",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
": Alors que là ce serait
 bizarre et les yeux ne seraient pas
 aussi je sais pas voilà voilà",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
": Là ça me fait penser à
 Freddy Mercury (rire), mais bon
 faut de l’imagination mais je sais
 pas si tu vois cette photo ou il est
 comme ça en arrière (réponse oui)
 Le micro, la tête (montre) et ça
 marche aussi dans l’autre sens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
": Là je vois un menton, une
 bouche, un nez à moitié…
 Et en fait la façon dont c’est en
 avant, pour le coup c’est un peu
 plus, pas une image super agréable
 et jolie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"T’as l’impression là c’est
 un… comment on appelle ça, heu
 merde, un bout de bois super
 grand sur lequel t’es accroché,
 comme si c’était quelqu’un qui
 était accroché à ça parce que ça
 ressemblerait plus à des bras qui
 sont liés derrière, un peu genre
 sorcière qui va être brulée
 Et le fait que ce soit un peu flou ça
 me fait évoquer le côté sorcière
 qui a déjà un peu démarré à brûler
 quoi avec la fumée
 C’est moins réjouissant, je
 préférais Freddy Mercury ˂ Cela dit quand il a la bouche
 fermée, il n’a pas l’air de crier de
 ouf
 Et là sur le même principe, et c’est
 marrant il a fallu que je le retourne
 car je ne le vois pas de ce côté-là,
 je vois vraiment la sorcière",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alors que de ce côté-là, on
 met Freddy Mercury là et tu vois
 plus qlq qui est accroché et ça fait
 plus pole dance, t’as la barre Et je pense que c’est bon oui, il y
 en a des plus inspirantes que
 d’autres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Premier truc, ça me fait
 penser à un vaisseau de star wars
 le Xwing, bon après il n’est pas
 exactement comme ça mais ça
 m’y fait penser",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cette partie-là ça me fait
 penser à un poisson (cache le bas
 de l’image) vu du dessus, avec tu
 sais les poissons qui volent là avec
 du coup des ailes voilà vraiment
 vu du dessus quoi, ce côté genre
 du dessus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et ça tous ensemble ça me
 fait penser à une clef
 C’est une clef un peu chelou et
 donc ça… c’est juste qu’elle n’est
 pas très longue et t’imagines ca du
 coup (montre) qui est un peu plus
 allongé",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ça ça me fait penser à une
 tique avec des petites dents, des
 crochets.C’est marrant parce que je ne
 prends que des parts d’images",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vraiment dans son
 ensemble là où c’est le plus classe
 ça me refait penser à un rivage, de
 toute façon il y a le côté miroir qui
 fait quand même souvent penser à
 ça.Pour le coup encore plus paisible
 que tout à l’heure. Parce que tout à
 l’heure tu avais, le côté tu
 t’éloignes et tu te rapproches, tu
 vois, t’avais une notion de
 profondeur",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Mais là t’as plus
 l’impression que tu es en face d’un
 lac. Ouai, ça me fait plus penser à un lac. Et donc en fait, c’est genre
 de l’eau stagnante.
 Tu vois les trucs comme ça
 (montre), l’eau n’est pas agitée tu
 vois",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mais ça fait quand même
 penser à un lac où genre, il pleut
 quoi, il y a genre des roseaux, des
 trucs comme ça
 Puis là ça fait plus, je sais pas
 quoi, j’arrive à imaginer le reste,
 une plaine ou je sais pas quoi
 (montre le gris foncé)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Et là tu vois c’est bizarre,
 parce que tu as le changement de
 couleurs, là c’est genre le ciel
 (montre le haut), et là t’as des
 herbes avec au loin la prairie
 fleurie, des trucs comme ça Une fois encore c’est zoomé en
 fait. (S’éloigne sur sa chaise avec
 la planche, la met à distance de ses
 yeux)
 Parce que c’est vrai qu’on pourrait
 s’amuser à regarder l’image
 encore plus éloignée et auquel
 cas… Je sais pas si tu vois ce que
 je veux dire, je m’éloigne pas
 vraiment mais… si tu changes
 l’échelle en fait",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Et ce genre de petites
 loupiotes là, ces éclaircissements,
 ça peut être des trucs de villes en
 fait, carrément, au loin et du coup
 ça a un horizon très lointain et du
 coup ce qui explique que ce soit
 un peu brouillard
 Typiquement ça, ça serait plus
 proche, genre t’arrives, je sais pas
 moi en bateau, t’arrives sur un truc
 comme ça et t’as les lumières de la
 nuit une fois encore Mais c’est marrant parce qu’en
 fait, pour pouvoir imaginer ça, ce
 que j’ai tendance à faire, c’est
 imaginer, enfin compenser le
 blanc en fait. Dans ma tête, tu
 vois, c’est-à-dire que cette partielà n’est pas logique dans cette
 image que je t’évoquais, si on
 essaie d’en faire un tableau heu…
 ça c’est pas logique donc j’occulte
 (pfiou-bruit pour l’enlever avec sa
 main), parce que sinon ça perd un
 peu de ça…(montre là où il remet
 du gris)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ça ça fait un pistolet
 (piou-piou bruit de tir) Et ouai non, je sais pas, hum…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ça ça fait plus penser à
 des flammes",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et donc tu es sûr, je sais
 pas moi genre heu… un bord de
 heu… une fois encore t’as le côté
 flotte, et t’as le côté forêt qui brûle
 quoi, incendie d’été ou je sais pas
 Du coup-là c’est beaucoup plus
 cohérent parce que c’est la fumée
 qui part de ça",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
