Réponse (French),(A),(AD),(H),(HD),A,ABS,AD,ALIM,ANAT,ARCH,ART,BOT,ELEM,FRAG,GÉO,H,HD,MQ,NAT,OBJ,PAYS,RADIO,SC,SCÈNE,SEX,SG,VÊT
"Ça, ça peut être une raie
 aussi, avec le truc qui pique mais
 heu… généralement c’est
 beaucoup plus fin quand même,
 mais fin voilà quoi.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Et là c’est un monsieur
 grincheux avec un œil, un gros pif,
 une bouche et un menton et pas
 beaucoup de cheveux sur le
 caillou Ouai je pense que c’est bon",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Moi je vois un lapin mais
 alors là il est compliqué à
 expliquer (rires).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un gros derrière de fourmi.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un papillon avec une fourmi, une grosse tête, des petites mains avec un radar comme les abeilles. Un mélange de fourmi, papillon et abeille.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Un mort aux yeux rouges, la bouche ouverte, il a fumé un joint.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un animal mort, je sais pas... peut-être une grenouille croisée avec un cul de mouche.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un scarabée avec des pinces pour se défendre avec un corps de grenouille, il est éclaté, car il manque la partie inférieure du corps et il a des yeux de mouche.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Des ailes de papillon.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un papillon.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Un papillon avec des ailes de chauve-souris, avec des gueules pour calculer l'altitude.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des tripes... je ne sais pas,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des trucs indiens, un totem avec des plumes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Une fourrure d'animal, mais ils ont retiré la tête. Il reste combien de planches ?",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Des têtes d'éléphant, ça doit appartenir à un chasseur.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il y a des poutres pour tenir les têtes d'éléphants, c'est un chasseur qui les collectionne.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Un animal volant mort accroché au-dessus.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deux tigres, deux lions, deux fauves quoi.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des tripes.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ils se baladent sur un truc de sang, ils vont à l'apéritif.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Les boyaux normaux.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les boyaux fumés parce qu'ils sont verts.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les branchites.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C'est le corps d'un alien, car il a 4 poumons.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tête d'animal.,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le truc bleu, c'est de la flotte.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Le rose, c'est le sang.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Il y a eu une bagarre, mais le corps n'est plus là, le sang est encore frais.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Des petites bêtes qui boivent le sang.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Entre les seins il y a quelqu'un qui a marqué son territoire.,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Le vert, c'est de l'herbe.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
J’aurais dit plutôt plus ou moins un papillon qui a des trous donc c’est un peu chelou…mais après c’est peut-être parce que c’est symétrique,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sinon, on peut, enfin je peux voir un visage là au centre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peut-être on dirait des bonhommes qui lèvent la main,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ah, peut-être un nuage mais juste là",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait des lapins qui se checkent,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait un papillon là encore,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ah ouais, c’est un peu bizarre mais on dirait une personne découpée à l’envers qui est sur le dos, enfin plutôt sur le ventre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
On dirait encore un papillon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A l’endroit, je vois plus un bassin",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Un peu des bonhommes individuels de chaque côté mais un peu difformes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"On dirait un peu…je sais pas…ah si un éléphant ou plus un mammouth, enfin c’est plus ou moins la même chose…mais ducoup il a pas d’œil, il est déformé",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bh là on dirait vraiment un papillon pour le coup…^v^… On dirait qu’il a un visage, des yeux et un nez, enfin je vois",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait une espèce de guitare dans la forme…v… ou un arbre dans l’autre sens,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Je vois un autre truc mais je ne saurai pas dire quoi…un fruit qu’on aurait découpé mais c’est peu précis,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait un espèce de visage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"On dirait un peu des personnages là, le visage et le buste",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Les trucs là en rose sur le côté on dirait des animaux, des espèces de tigre ou panthère quelque chose comme ça",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le truc en haut on dirait une tête d’insecte mais rapprochée,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les trucs oranges on dirait un peu des flammes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les trucs verts on dirait un peu des têtes de rhinocéros plus ou moins,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait qu’il y a un os en plein milieu du truc,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le truc gris on dirait des poumons,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"En bleu, on dirait des palmiers",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On dirait un visage avec le rose, le tout et les yeux, plus un visage d’animal ducoup",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"On dirait un petit bonhomme avec des ailes en queue de scorpion, super précis",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les trucs jaunes on dirait des oiseaux,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait un petit peu des petits lapins,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euuh… Oh, je vois un bonhomme euh… genre vicieux (rires), je sais pas comment t’expliquer, mais genre euh, en mode là c’est ses yeux et… et genre il a un sourire en mode moqueur avec des grandes oreilles ouais",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ou alors un insecte, non… si ? Ouais, non je vois ça moi. Même quand je tourne, je le vois mais juste à l’envers en fait (rires).

Je t’avoue j’ai pas… Je la trouve un peu, je sais pas, méchante genre, la pho… l’image, j’allais dire la photo c’est une image. L’image je la trouve méchante ouais, pas agréable, pas… c’est pas la meilleure quoi.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oh ! Alors là je vois un petit papillon. 
Mais j’aime bien cette image, fin j’aime bien les couleurs, c’est un peu… fin c’est moins…, c’est plus agréable que la première.
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alors, je sais pas pourquoi, mais… c’est, je sais pas… Là j’ai l’impression que c’est des pattes, genre des jambes et là un… je sais pas. Alors attends (rires). Moi je le mettrais comme ça. Ouais, là des jambes, genre des cuisses, on dirait des trucs de poulet (rires) et là un papillon, et là je sais pas.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Han ! On dirait deux personnes qui se battent, tête contre tête, genre et le papillon du coup c’est le choc. Et là du coup c’est leurs pattes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"On dirait des animaux. Ou des personnes ? Non, des animaux un peu, je sais pas. Ouais non, des animaux qui se battent. En plus euh, y’a un peu de rouge sur eux, donc on dirait des taches de sang. Ouais.
Beaucoup de violence hein ? (Rires)",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"Ouais puis c’est à peu près tout. Ouais. Puis là on dirait même des petites cornes, un peu comme euh… comme des cornes du diable qui se battent.

Ouais. Voilà, c’est à peu près tout je crois. 

Oh j’ai pris une minute de plus ! (Rires)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Euh, on dirait un peu deux…, deux hommes qui essayent de porter une charge lourde et là on dirait un nœud papillon. Y’a beaucoup de papillons aussi… ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"Là on dirait des poumons. Alors, pourquoi y’aurait des poumons… c’est une grande question. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mais ouais, on dirait deux hommes qui se font face à face.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Alors, c’est un peu bizarre ce que je vais dire mais j’ai l’impression un peu que au milieu c’est leur cœur, et que j’sais pas… y’a une euh… y’a un échange qui se fait. ",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Je…, je…, je sais pas pourquoi, mais je vois genre de l’amour, mais impossible, ouais. Ils ont l’air de vouloir aller l’un vers l’autre mais… ou alors, peut-être le rouge à côté c’est genre euh… leur intention qui est ailleurs et qu’en fait… je sais pas. Mmh.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Oh ! Mais si je retourne l’image, je vois une grenouille ! (Rires) mais ça n’a rien à voir ! Bah ouais, là je vois une grenouille. Alors, une grenouille avec un petit papillon rouge sur euh…  mais qui manque des pattes, peut-être qu’elles sont coupées tic tic tic… ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ou alors un insecte, ouais mais genre qui s’attaque vers quelqu’un.

C’est drôle. ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ou alors deux hommes, qui sont dos contre dos, et euh… je sais pas si tu vois, mais comme… pendant l’histoire, genre en mode euh, quand ils devaient faire un duel, ils se mettaient dos contre dos, et après ils avançaient ? Et ben moi je vois ça. (Rires) Genre au début quand ils sont dos contre dos, et là je les vois ils vont… et puis j’sais pas là on dirait des pistolets, du coup c’est pour ça que je dis ça. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"Ouais, puis justement, le fait que ce soit un duel et que je vois toujours des cœurs au milieu. J’sais pas j’ai l’impression qu’ils vont se battre alors qu’ils s’aiment.
Je sais pas pourquoi.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Et puis là il y a encore l’histoire du sang.

Ouais voilà. 

Ouais, non j’ai rien à ajouter j’crois. 
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Alors, je vois une chauve-souris. (Rires)
Celle-là elle est pas… elle est pas drôle non plus. Je la vois un peu sombre.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On dirait un animal écrasé ou qui est en train de mourir. Mmh.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ou là on dirait un sanglier, genre là c’est ses oreilles, et là c’est son museau. (Rires)

Pourquoi je vois que des animaux partout, c’est ça la vraie question.
",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ouais je vois une bête, qui me regarde méchamment en fait. On dirait elle me veut euh…, elle me reproche quelque chose.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ou alors peut-être un masque, je sais pas. Ouais. 

Ouais, celle-là elle est pas gentille, (rires), j’aime pas, je préfère avec les taches rouges (rires).
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"On dirait un papillon. Y’a beaucoup de papillons, hein…",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ah ! Ou alors deux oiseaux qui… genre là c’est leurs becs, et là c’est leurs ailes. Mmh.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouais un papillon qui essaye de s’envoler quelque part. Mmh.,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ou le bas d’un masque, pour genre cacher la… genre là je vois le nez, et là c’est pour cacher genre la bouche, ouais.  Comme dans les méchants dans les films.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Euh…
Je vois une peau de bête, c’est horrible !
Genre comme les tapis, les tapis d’ours et tout là. J’aime pas du tout. (Rires).
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ou alors euh… Qu’est-ce que je vois ? Je vois un peu un totem-là, comme les totems indiens.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Puis là je vois une étendue d’herbe ou d’eau, quelque chose d’assez paisible. Si on rejoint le totem, ouais quelque chose d’assez paisible. ",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Et sinon ouais, quand je retourne par contre je vois une peau de bête, bon, moins paisible, avec peut-être un feu de cheminée là du coup. 

J’sais pas. Je m’imagine chez des chasseurs.
",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Ah, mais si je la prends comme ça, j’ai l’impression que là on est dans l’eau et qu’en fait ça c’est le reflet de l’eau et que du coup c’est un peu une forêt, ou une montagne. Un truc qui rejoint le paysage en tout cas. Mais euh, j’irais pas m’y promener hein, parce que ça a l’air un peu bizarre quand même. On dirait un peu une forêt hantée, comme dans les films. C’est peut-être la couleur noire qui me fait dire ça mais euh… Mais ouais. ",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Et sinon, là je vois des petits crochets genre l’impression que c’est… j’sais pas, un truc qui va se refermer pour t’attraper. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Ouais, maintenant je vois que la forêt en fait. Là ça a l’air plus sombre que là, donc je dirais que là c’est où les gens ne veulent pas aller et là contre toute attente, c’est là où on a envie d’aller. Ouais.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Ou alors, là je vois deux ours ! Deux ours qui tendent leur bras comme ça. (Rires). Et là c’est leur petit museau là. Mais du coup je sais pas trop sur quoi ils sont mais… ils sont ralliés à un truc. 

On dirait ils essayent de se détacher, et que leur peau elle est fixée genre. Ouais. (Je vois leurs dos collés, rajoute-t-elle quand je demande de répéter).

Ouais j’aime bien cette planche. C’est tout ce que j’ai un peu près à dire mais j’aime bien.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alors là, je vois deux visages, avec des cheveux en l’air, qui se tournent mais en même temps qui… en fait leur tête elle est, genre retournée par rapport à leur corps, parce que j’ai l’impression que leur corps il va par là mais que leur tête elle va par là. Et là c’est genre… là c’est leur avant, fin c’est leur buste et là c’est leurs jambes je crois… Han, ouais peut-être… elles vont dans un endroit mais euh, elles veulent regarder l’autre genre. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Puis alors je sais pas pourquoi, mais là je vois un visage méchant, en mode euh, là c’est les yeux, là le nez, et j’sais pas là y’a un visage méchant qui regarde vers le bas.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Alors là je vois deux petites bêtes, hop tchou tchou tchou. (Fait des signes avec ses mains).",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Là je vois une forêt du coup, pour se rapprocher des bêtes. 
Et en fait là on dirait un feu et on dirait qu'elles s’échappent du feu pour aller dans la forêt qui n’est pas encore en feu du coup. 
",0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Ou alors euh, je vois des organes humains, c’est bizarre ça. Là je vois genre des poumons et le cœur. Ouais.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ou alors là je vois une fleur un peu. Je sais plus comment elles s’appellent euh... Les pensées. Je vois une pensée. Ouais puis là ça serait genre sa tige avec les feuilles. Mais je sais pas ce que ça serait ça. Je dirais des larmes mais une pensée ça peut pas pleurer. (Rires). Mais on dirait.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Ou alors on peut reparler peut-être du reflet, je revois aussi un reflet, pareil qui… qui euh, qui passe d’un rocher à l’autre, la bête là, la panthère, je sais pas trop quoi, mais je la vois fuir en tout cas. Ça c’est clair et net. Même si j’en vois deux, ou une, je les vois fuir. ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Oh, puis là je vois une main qui essaye de l’aider genre. Peut-être lui dire euh « viens ». ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Puis au centre là, je vois une tête de zèbre, je sais pas pourquoi mais euh, une petite tête de zèbre. 

Ouais, j’aime bien cette planche, les dégradés de couleurs et tout, j’aime bien. 
Elle me rend plus heureuse que celle en noir en tout cas (rires). 
Voilà. 
",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"(Rires) Je vois une grosse dame ! (Rires) Je vois une grosse dame avec les mains comme ça (met ses mains sur ses hanches), et là c’est ses gros cheveux (rires) et là c’est son petit visage. Mais avec une tenue d’époque genre euh, en mode euh comme les dames de la cour. Avec une grosse robe et tout, là un corset, mais avec des grosses manches bouffantes, et qui se tient comme ça (me montre). Ça se voit elle va en… crier quelqu’un genre.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
"Ou alors là je vois deux crevettes, je sais pas si c’est la couleur orange qui me fait dire ça ou… la forme bizarre mais euh, je vois des crevettes. 

Elle me fait rire, parce que du coup je vois que la grosse dame. 
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oh ! Ou alors je vois un monsieur avec des grosses moustaches. Là c’est ses yeux, et là c’est les moustaches et là c’est un gros chapeau, et là c’est le, la tenue, en plus là on dirait des petits boutons, et là un col. Du coup on dirait un monsieur ou une dame. Et le monsieur il a pas l’air content non plus. Mais on dirait un peu un monsieur, euh, un monsieur genre d’un monde féérique. En mode euh…

Alors que la grosse dame on dirait vraiment quelqu’un de… de réel. Genre ça m’étonnerait pas de la voir en vrai, dans un film médiéval, en mode qui a vraiment existé. Alors que lui je le vois plus dans un Disney ou, en mode qui existe pas.
",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Et son chapeau justement ça peut être les crevettes. Je le vois dans un monde marin. Ça se voit c’est un méchant d’un film en fait.

Ouais c’est tout. Je l’aime bien.
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
"Oh on dirait euh, le bleu on dirait un feu d’artifice, et là je vois la tour Eiffel. Je vois bah du coup un feu d’artifice à la tour Eiffel.",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
